SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
11,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
15,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
17,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
18,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
19,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
20,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
21,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
51,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
52,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
58,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
59,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
61,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
62,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
63,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
64,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
65,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
66,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
68,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
69,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
81,3,FALSE,400,4000,-10,0.99,1.5,FALSE,0.25,0.2,0.25,0.25,56,56,353,222,100,300,20000
93,4,FALSE,280,1911,-30,0.309,3,FALSE,0.263,0.258,0.4,0.234,40.7,43,500,84,55,300,30000
96,4,FALSE,280,1911,-30,0.309,3,FALSE,0.263,0.258,0.4,0.234,40.7,43,500,84,55,300,30000
101,5,FALSE,247,2929,-17,0.385,10,FALSE,0.27,0.2,0.25,0.25,48,30,245,222,60,300,30000
103,5,FALSE,247,2937,-16,0.408,10,FALSE,0.24,0.22,0.29,0.29,48,30,245,170,60,300,30000
104,5,FALSE,247,2937,-16,0.408,10,FALSE,0.24,0.22,0.29,0.29,48,30,245,170,60,300,30000
106,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
108,5,FALSE,247,3582,-14,0.406,7,FALSE,0.26,0.37,0.33,0.33,64,50,500,212,82,300,20000
109,5,FALSE,285,4031,-8,0.422,3,FALSE,0.17,0.22,0.28,0.28,56,53,278,185,69,300,20000
113,5,FALSE,332,31376,-17,0.397,8,FALSE,0.24,0.22,0.29,0.29,48,30,245,170,60,300,30000
114,5,FALSE,247,3582,-15,0.402,4,FALSE,0.24,0.22,0.29,0.29,57,31,353,170,71,300,20000
116,5,FALSE,247,3993,-12,0.428,6,FALSE,0.28,0.2,0.28,0.28,56,49,260,170,67,300,30000
117,5,FALSE,285,4031,-8,0.422,3,FALSE,0.17,0.22,0.28,0.28,56,53,278,185,69,300,20000
118,5,FALSE,1053,4641,-5,0.471,3,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,32000
119,5,FALSE,247,3582,-15,0.402,4,FALSE,0.24,0.22,0.29,0.29,57,31,353,170,71,300,20000
122,5,FALSE,232,4031,-8,0.43,4,FALSE,0.28,0.22,0.28,0.28,56,49,260,170,67,300,30000
124,5,FALSE,232,4031,-8,0.43,4,FALSE,0.28,0.22,0.28,0.28,56,49,260,170,67,300,30000
127,5,FALSE,1053,4641,-5,0.471,3,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,32000
133,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
134,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
135,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
137,5,FALSE,232,4031,-8,0.43,4,FALSE,0.28,0.22,0.28,0.28,56,49,260,170,67,300,30000
140,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
141,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
142,5,FALSE,247,2929,-17,0.385,10,FALSE,0.27,0.2,0.25,0.25,48,30,245,222,60,300,30000
143,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
201,5,FALSE,332,4031,-6,0.413,7,FALSE,0.24,0.3,0.26,0.34,45,52,455,238,70,300,30000
202,5,FALSE,332,4031,-6,0.413,7,FALSE,0.24,0.3,0.26,0.34,45,52,455,238,70,300,30000
211,5,FALSE,364,3026,-9,0.458,8,FALSE,0.2,0.22,0.29,0.29,42,58,500,170,96,300,40000
212,5,FALSE,364,3026,-9,0.458,8,FALSE,0.2,0.22,0.29,0.29,42,58,500,170,96,300,40000
242,5,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,30000
263,5,FALSE,247,2929,-15,0.386,5,FALSE,0.24,0.22,0.29,0.29,71,83,340,170,65,300,30000
264,5,FALSE,247,2929,-15,0.386,5,FALSE,0.24,0.22,0.29,0.29,71,83,340,170,65,300,30000
312,6,FALSE,655,4031,-7,0.415,1,FALSE,0.18,0.22,0.26,0.26,24,31,444,90,62,300,20000
313,6,FALSE,655,4031,-7,0.415,1,FALSE,0.18,0.22,0.26,0.26,24,31,444,90,62,300,20000
321,6,FALSE,655,4031,-7,0.415,1,FALSE,0.18,0.22,0.26,0.26,24,31,444,90,62,300,20000
322,6,FALSE,655,4031,-7,0.415,1,FALSE,0.18,0.22,0.26,0.26,24,31,444,90,62,300,20000
351,6,TRUE,400,2950,-7,0.5,1,FALSE,0.18,0.15,0.32,0.32,22,25,200,82,28,240,35000
352,6,TRUE,400,2950,-7,0.5,1,FALSE,0.18,0.15,0.32,0.32,22,25,200,82,28,240,35000
353,6,TRUE,400,2950,-7,0.5,1,FALSE,0.18,0.15,0.32,0.32,22,25,200,82,28,240,35000
361,6,FALSE,400,3750,-5,0.75,3,TRUE,0.18,0.22,0.28,0.32,25,30,400,80,100,75,20000
362,6,FALSE,400,3750,-5,0.75,3,TRUE,0.18,0.22,0.28,0.32,25,30,400,80,100,75,20000
375,6,FALSE,484,2036,-28,0.28,1,FALSE,0.201,0.27,0.2,0.251,23.3,26,384,50,65,400,15000
404,6,FALSE,1910,5500,-7,0.2,1,FALSE,0.187,0.27,0.2,0.251,26.6742,25,294.118,49,43,450,29000
461,6,FALSE,400,3750,-5,0.75,3,TRUE,0.18,0.22,0.28,0.32,25,30,400,80,100,75,20000
462,6,FALSE,400,3750,-5,0.75,3,TRUE,0.18,0.22,0.28,0.32,25,30,400,80,100,75,20000
463,6,FALSE,400,3750,-5,0.75,3,TRUE,0.18,0.22,0.28,0.32,25,30,400,80,100,75,20000
475,12,FALSE,400,4000,-10,0.99,1.5,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,20000
540,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22.9,26,455,50,65,450,37000
542,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22.9,26,455,50,65,450,37000
544,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22.9,26,455,50,65,450,37000
547,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22.9,26,455,50,65,450,37000
549,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22.9,26,455,50,65,450,37000
602,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26.741,25,294.118,49,43,450,8000
